"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"SP1","14/04/10","Santander","Espanol",3,1,"H",1,1,"D",13,7,4,2,24,10,7,5,3,3,0,1,2.1,3.3,3.5,2.15,3.25,3.25,2.1,3.25,3.4,2.1,3.2,3,"09/10"
"SP1","14/04/10","Osasuna","Malaga",2,2,"D",1,1,"D",11,16,2,6,20,18,5,4,1,5,1,1,1.91,3.4,4,1.95,3.35,3.7,2,3.3,3.6,1.83,3.3,3.6,"09/10"
"SP1","14/04/10","Barcelona","La Coruna",3,0,"H",1,0,"H",21,5,11,3,11,12,14,2,0,3,0,0,1.13,8.5,17,1.12,8.5,14.5,1.15,6.5,15,1.12,6,15,"09/10"
"SP1","14/04/10","Ath Madrid","Xerez",1,2,"A",1,1,"D",21,11,5,3,19,16,8,4,3,4,0,0,1.36,4.5,9,1.35,4.6,8,1.45,4,7,1.36,4,7,"09/10"
"SP1","13/04/10","Valladolid","Sevilla",2,1,"H",1,0,"H",20,8,5,5,27,13,4,3,5,1,0,0,4,3.5,1.91,4.15,3.5,1.8,3.6,3.3,2,3.6,3.3,1.83,"09/10"
"SP1","13/04/10","Sp Gijon","Tenerife",0,2,"A",0,0,"D",12,7,5,4,16,12,9,9,2,0,0,0,1.91,3.4,4,1.85,3.35,4.1,1.9,3.4,3.7,1.73,3.4,4,"09/10"
"SP1","13/04/10","Getafe","Villarreal",3,0,"H",0,0,"D",15,8,5,2,19,10,5,5,1,2,0,0,2.5,3.3,2.75,2.45,3.25,2.75,2.3,3.3,2.9,2.25,3.2,2.75,"09/10"
"SP1","11/04/10","Osasuna","Zaragoza",2,0,"H",1,0,"H",9,12,6,4,22,14,3,7,4,4,1,0,2.25,3.25,3.2,2.25,3.15,3.15,2.1,3.25,3.4,2.1,3.2,3,"09/10"
"SP1","11/04/10","Mallorca","Valencia",3,2,"H",2,0,"H",17,15,8,4,12,15,4,7,3,3,0,1,2.38,3.25,3,2.5,3.3,2.85,2.45,3.3,2.75,2.25,3.2,2.75,"09/10"
"SP1","11/04/10","La Coruna","Santander",1,1,"D",1,0,"H",15,12,3,4,9,16,9,7,0,1,0,0,2,3.4,3.8,2.05,3.35,3.4,2,3.3,3.6,1.83,3.2,3.75,"09/10"
"SP1","11/04/10","Espanol","Ath Madrid",3,0,"H",0,0,"D",21,12,7,2,8,13,5,5,2,3,0,1,2.5,3.25,2.8,2.5,3.3,2.85,2.6,3.2,2.6,2.38,3.2,2.6,"09/10"
