"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","season"
"11/01/98","Chievo","Torino",0,2,"A","97/98"
"11/01/98","C. Sangro","Genoa",3,3,"D","97/98"
"11/01/98","Ancona","Monza",0,1,"A","97/98"
"04/01/98","Verona","Reggina",1,1,"D","97/98"
"04/01/98","Venezia","Lucchese",0,0,"D","97/98"
"04/01/98","Treviso","Chievo",0,0,"D","97/98"
"04/01/98","Torino","Reggiana",1,0,"H","97/98"
"04/01/98","Pescara","Ancona",3,2,"H","97/98"
"04/01/98","Monza","Salernitana",1,1,"D","97/98"
"04/01/98","Genoa","Perugia",2,0,"H","97/98"
"04/01/98","Foggia","C. Sangro",2,0,"H","97/98"
"04/01/98","F. Andria","Ravenna",0,0,"D","97/98"
"04/01/98","Cagliari","Padova",1,0,"H","97/98"
"21/12/97","Treviso","Genoa",2,1,"H","97/98"
"21/12/97","Salernitana","Torino",2,1,"H","97/98"
"21/12/97","Reggina","Pescara",0,0,"D","97/98"
"21/12/97","Reggiana","Verona",0,1,"A","97/98"
"21/12/97","Ravenna","Monza",1,1,"D","97/98"
"21/12/97","Perugia","Foggia",2,2,"D","97/98"
"21/12/97","Padova","F. Andria",0,0,"D","97/98"
"21/12/97","Lucchese","Cagliari",1,2,"A","97/98"
"21/12/97","Chievo","Ancona",0,1,"A","97/98"
"21/12/97","C. Sangro","Venezia",1,3,"A","97/98"
"14/12/97","Verona","Perugia",0,1,"A","97/98"
"14/12/97","Venezia","Salernitana",0,3,"A","97/98"
"14/12/97","Torino","C. Sangro",4,1,"H","97/98"
"14/12/97","Pescara","Ravenna",1,1,"D","97/98"
"14/12/97","Monza","Padova",2,0,"H","97/98"
"14/12/97","Genoa","Reggina",0,0,"D","97/98"
"14/12/97","Foggia","Chievo",0,1,"A","97/98"
"14/12/97","F. Andria","Treviso",0,0,"D","97/98"
"14/12/97","Cagliari","Reggiana",0,0,"D","97/98"
"14/12/97","Ancona","Lucchese",0,1,"A","97/98"
"07/12/97","Treviso","Verona",1,0,"H","97/98"
"07/12/97","Salernitana","Genoa",2,1,"H","97/98"
"07/12/97","Reggina","F. Andria",2,3,"A","97/98"
"07/12/97","Reggiana","Ancona",1,0,"H","97/98"
"07/12/97","Ravenna","Torino",1,1,"D","97/98"
"07/12/97","Perugia","Cagliari",1,1,"D","97/98"
"07/12/97","Padova","Foggia",3,0,"H","97/98"
"07/12/97","Lucchese","Monza",0,0,"D","97/98"
