"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"I1","07/02/17","Roma","Fiorentina",4,0,"H",1,0,"H",23,13,8,2,10,15,6,3,2,3,0,0,1.62,4,5.5,1.62,4,5.5,1.6,3.7,5.4,1.6,4,5.25,"16/17"
"I1","08/02/17","Bologna","Milan",0,1,"A",0,0,"D",20,5,5,4,13,14,7,9,5,2,0,2,3.4,3.25,2.25,3.4,3.3,2.2,3.2,3.2,2.2,3.4,3.2,2.2,"16/17"
"I1","08/02/17","Crotone","Juventus",0,2,"A",0,0,"D",5,17,2,11,13,11,0,1,0,1,0,0,13,6,1.22,16,6.5,1.2,13,5.8,1.2,13,5.75,1.22,"16/17"
"I1","10/02/17","Napoli","Genoa",2,0,"H",0,0,"D",20,6,8,3,7,11,12,4,1,2,0,0,1.29,5.75,10,1.28,5.75,10.5,1.3,5,9,1.29,5.5,10,"16/17"
"I1","11/02/17","Fiorentina","Udinese",3,0,"H",1,0,"H",14,9,6,4,13,15,4,3,2,2,0,0,1.67,3.8,5.25,1.67,3.9,5.25,1.6,3.7,5.4,1.67,3.75,5,"16/17"
"I1","12/02/17","Cagliari","Juventus",0,2,"A",0,1,"A",14,13,3,3,20,14,6,1,2,5,1,0,10,5,1.33,9.25,4.75,1.36,7.6,4.8,1.35,9.5,5,1.33,"16/17"
"I1","12/02/17","Crotone","Roma",0,2,"A",0,1,"A",13,15,4,3,15,14,2,5,0,0,0,0,8.5,5,1.36,8,4.75,1.4,7.6,4.8,1.35,7.5,4.75,1.4,"16/17"
"I1","12/02/17","Inter","Empoli",2,0,"H",1,0,"H",19,6,8,3,21,12,9,2,1,2,0,0,1.33,5,10,1.36,4.75,9.25,1.3,5,9,1.35,4.75,9.5,"16/17"
"I1","12/02/17","Palermo","Atalanta",1,3,"A",1,2,"A",13,21,5,5,15,12,6,3,3,1,0,0,5,3.6,1.75,4.6,3.6,1.8,4,3.45,1.85,4.75,3.6,1.75,"16/17"
"I1","12/02/17","Sampdoria","Bologna",3,1,"H",0,1,"A",18,10,5,2,12,14,11,4,2,4,0,0,1.91,3.5,4.2,1.9,3.6,4.1,1.85,3.45,4,1.85,3.5,4.2,"16/17"
"I1","12/02/17","Sassuolo","Chievo",1,3,"A",1,1,"D",13,19,5,7,16,7,6,3,0,3,1,0,1.91,3.4,4.33,1.91,3.5,4.1,1.95,3.35,3.7,1.85,3.3,4.33,"16/17"
"I1","12/02/17","Torino","Pescara",5,3,"H",3,0,"H",19,8,9,5,20,12,7,5,1,3,0,0,1.36,5,8.5,1.4,4.6,8.5,1.35,4.8,7.6,1.4,4.75,8,"16/17"
"I1","13/02/17","Lazio","Milan",1,1,"D",1,0,"H",23,9,10,4,14,14,5,8,2,2,0,0,1.7,3.8,5,1.75,3.75,4.75,1.75,3.5,4.5,1.67,3.75,5.25,"16/17"
"I1","17/02/17","Juventus","Palermo",4,1,"H",2,0,"H",14,8,7,3,12,12,8,3,1,1,0,0,1.14,8,21,1.13,8,17.5,1.17,6.5,14,1.14,8,23,"16/17"
"I1","18/02/17","Atalanta","Crotone",1,0,"H",0,0,"D",14,5,3,2,15,18,4,3,2,5,0,0,1.25,5.5,15,1.26,5,12.5,1.3,5,9,1.25,5.5,12,"16/17"
"I1","18/02/17","Empoli","Lazio",1,2,"A",0,0,"D",6,21,2,8,14,7,1,9,3,1,0,0,5.5,3.75,1.67,4.5,3.6,1.75,4.5,3.5,1.75,5,3.75,1.67,"16/17"
"I1","19/02/17","Bologna","Inter",0,1,"A",0,0,"D",8,16,1,5,18,18,1,7,1,4,0,0,4.75,3.5,1.8,4,3.5,1.87,4.2,3.5,1.8,4.75,3.5,1.75,"16/17"
"I1","19/02/17","Chievo","Napoli",1,3,"A",0,2,"A",13,17,3,6,11,13,6,5,1,0,0,0,8.5,4.2,1.44,6.75,4.25,1.45,6.1,4,1.5,7,4.2,1.48,"16/17"
"I1","19/02/17","Milan","Fiorentina",2,1,"H",2,1,"H",6,18,4,7,11,13,3,7,3,2,0,0,2.15,3.3,3.5,2.25,3.25,3.1,2.2,3.2,3.2,2.15,3.4,3.25,"16/17"
"I1","19/02/17","Pescara","Genoa",5,0,"H",3,0,"H",8,13,6,2,14,15,5,9,2,1,0,0,3.5,3.4,2.1,3.4,3.3,2.1,3.8,3.45,1.9,3.2,3.5,2.15,"16/17"
"I1","19/02/17","Roma","Torino",4,1,"H",2,0,"H",20,12,7,4,14,9,5,6,0,2,0,0,1.44,4.5,7.5,1.45,4.2,7,1.4,4.4,7.3,1.48,4.5,6.5,"16/17"
"I1","19/02/17","Sampdoria","Cagliari",1,1,"D",1,1,"D",13,10,2,4,21,23,4,4,4,6,0,0,1.67,3.75,5.5,1.65,3.75,5,1.65,3.6,5.1,1.67,3.8,5,"16/17"
